bundle_path	original_reference	original_sha256	bundle_sha256	transformation
corrected-402/race-recovery/p3/outcomes.expected.tsv	sn-mirror-replay-correction-20260914/terra-runtime/capture-mirror-fixture-20260914T095212Z/race-recovery-two-drift-roots/p3/outcomes.expected.tsv	sha256:e5f88b3298f59672955385b18f4332ff4fed9284399025b19a75739eeee5fbb5	sha256:e5f88b3298f59672955385b18f4332ff4fed9284399025b19a75739eeee5fbb5	copied
corrected-402/race-recovery/p3/source.prelist.identity	sn-mirror-replay-correction-20260914/terra-runtime/capture-mirror-fixture-20260914T095212Z/race-recovery-two-drift-roots/p3/source.prelist.identity	sha256:67ad26aec8f33f1c4cd73519541a596f62b5d7e5990600455072423b609f6e8b	sha256:67ad26aec8f33f1c4cd73519541a596f62b5d7e5990600455072423b609f6e8b	copied
corrected-402/race-recovery/p3/source.prebody.identity	sn-mirror-replay-correction-20260914/terra-runtime/capture-mirror-fixture-20260914T095212Z/race-recovery-two-drift-roots/p3/source.prebody.identity	sha256:67ad26aec8f33f1c4cd73519541a596f62b5d7e5990600455072423b609f6e8b	sha256:67ad26aec8f33f1c4cd73519541a596f62b5d7e5990600455072423b609f6e8b	copied
corrected-402/race-recovery/p3/source.postbody.identity	sn-mirror-replay-correction-20260914/terra-runtime/capture-mirror-fixture-20260914T095212Z/race-recovery-two-drift-roots/p3/source.postbody.identity	sha256:67ad26aec8f33f1c4cd73519541a596f62b5d7e5990600455072423b609f6e8b	sha256:67ad26aec8f33f1c4cd73519541a596f62b5d7e5990600455072423b609f6e8b	copied
corrected-402/race-recovery/p3/binary.sha256	sn-mirror-replay-correction-20260914/terra-runtime/capture-mirror-fixture-20260914T095212Z/race-recovery-two-drift-roots/p3/run.binary-before.stdout	sha256:413ed760fca8d369b97e00f4caff7f5457d27908e1fb87384475ed5c15314fc3	sha256:2214d5f17ea19d42728898e9684a85ed9970c90c4e6ae285cf141610057c0f69	normalized-private-binary-path
causal/build.meta	sn-mirror-replay-correction-20260914/terra-runtime/causal-ff62-executor-data/run-20260914T0958Z/build.meta	sha256:51c8226491dc901fb9da7ed396628f6914b49825e2989e31b9b78e73323387a7	sha256:51c8226491dc901fb9da7ed396628f6914b49825e2989e31b9b78e73323387a7	copied
causal/list.meta	sn-mirror-replay-correction-20260914/terra-runtime/causal-ff62-executor-data/run-20260914T0958Z/list.meta	sha256:f628c865f919c250766792462ddb85c0ff5096f8f677f2eb61ae3f599ea17777	sha256:f628c865f919c250766792462ddb85c0ff5096f8f677f2eb61ae3f599ea17777	copied
causal/list.roots	sn-mirror-replay-correction-20260914/terra-runtime/causal-ff62-executor-data/run-20260914T0958Z/list.roots	sha256:70d141f40330d744a2e69b38222a79e575c9d18f2cea85f6529bf582681723d2	sha256:70d141f40330d744a2e69b38222a79e575c9d18f2cea85f6529bf582681723d2	copied
causal/run.meta	sn-mirror-replay-correction-20260914/terra-runtime/causal-ff62-executor-data/run-20260914T0958Z/run.meta	sha256:97f54c0bce4298f2074aab1a7df3d9f8f86769c4119ab3f3d0dda85ab74f6bf6	sha256:97f54c0bce4298f2074aab1a7df3d9f8f86769c4119ab3f3d0dda85ab74f6bf6	copied
causal/assertions.meta	sn-mirror-replay-correction-20260914/terra-runtime/causal-ff62-executor-data/run-20260914T0958Z/causal_assertions.meta	sha256:c8f61ac9f0f92a4c5c902d80a7cf33dfc97151fbdff52fa50e463de42bf65794	sha256:c8f61ac9f0f92a4c5c902d80a7cf33dfc97151fbdff52fa50e463de42bf65794	copied
causal/outcomes.expected.tsv	sn-mirror-replay-correction-20260914/terra-runtime/causal-ff62-executor-data/run-20260914T0958Z/outcomes.expected.tsv	sha256:06771de1f011bc707aa60efd6684b6d3881c0e0e0a519f58a11710ca5eecfaac	sha256:06771de1f011bc707aa60efd6684b6d3881c0e0e0a519f58a11710ca5eecfaac	copied
causal/outcomes.actual.tsv	sn-mirror-replay-correction-20260914/terra-runtime/causal-ff62-executor-data/run-20260914T0958Z/outcomes.actual.tsv	sha256:06771de1f011bc707aa60efd6684b6d3881c0e0e0a519f58a11710ca5eecfaac	sha256:06771de1f011bc707aa60efd6684b6d3881c0e0e0a519f58a11710ca5eecfaac	raw-converted-terminal-outcomes
causal/source.prebuild.identity	sn-mirror-replay-correction-20260914/terra-runtime/causal-ff62-executor-data/run-20260914T0958Z/source.prebuild.identity	sha256:75160afcb8f9fd64176d9ce404acf28542dd7126b12242e1514cf115bc929f31	sha256:75160afcb8f9fd64176d9ce404acf28542dd7126b12242e1514cf115bc929f31	copied
causal/source.prelist.identity	sn-mirror-replay-correction-20260914/terra-runtime/causal-ff62-executor-data/run-20260914T0958Z/source.prelist.identity	sha256:a672f271a33ed0cb9ffe45d4d284f7ed5d4a77cf48d1f97d31c244264651a5a0	sha256:a672f271a33ed0cb9ffe45d4d284f7ed5d4a77cf48d1f97d31c244264651a5a0	copied
causal/source.postbody.identity	sn-mirror-replay-correction-20260914/terra-runtime/causal-ff62-executor-data/run-20260914T0958Z/source.postbody.identity	sha256:a672f271a33ed0cb9ffe45d4d284f7ed5d4a77cf48d1f97d31c244264651a5a0	sha256:a672f271a33ed0cb9ffe45d4d284f7ed5d4a77cf48d1f97d31c244264651a5a0	copied
causal/binary.sha256	sn-mirror-replay-correction-20260914/terra-runtime/causal-ff62-executor-data/run-20260914T0958Z/binary.sha256	sha256:de235b21352c8dfac5f0c1ee31ad7cf2bf28465d70e0d91eda353d74b7b32cb5	sha256:7cc650ab0beec93999b681ab484d6b8f018ee5c9c6ccce206ac7c73f6a97b6e0	normalized-private-binary-path
causal/fixture-data-restoration.diff	sn-mirror-replay-correction-20260914/terra-runtime/causal-ff62-executor-data/causal.diff	sha256:b7376f266746710adca7acd16e4884b09e9bddb48093e54b8e108965f40653f7	sha256:b7376f266746710adca7acd16e4884b09e9bddb48093e54b8e108965f40653f7	copied-test-only-mutation
causal/executor-ff62-restoration.diff	sn-mirror-fixture-correction-20260914/causal-ff62-executor-data/sn/sim-testnet/executor.go	sha256:4924e74cae011d46b73ee61d7a37a1fc26a4e16e47e5966998fa4c2cede1d364	sha256:9237d4ab6ad1359be9cdfce788dab9fb84a22784f7cccedd4cab2434e783167c	generated-from-cached-ff62-restoration-diff
causal/failure-and-control-excerpt.txt	sn-mirror-replay-correction-20260914/terra-runtime/causal-ff62-executor-data/run-20260914T0958Z/raw/test2json.raw	sha256:5b32833ceb2a26deaa268f1f77537caf2f37e289fe2f15478c4fceb734638939	sha256:b5d805dab30c4c09cc13ef679ab86fa68dcea5d46735f2dd07b23376e3b9103d	sanitized-selected-causal-excerpt
reports/ASTRA-HANDOFF.md	sn-mirror-fixture-correction-20260914/HANDOFF.md	sha256:c705fe7c3b29d798da3a762824af746fcb26fcd9acc5a7f5fc4d1b76b372391e	sha256:3085acbe4ebb724c7b14bad807ae8e1abf3fe97c0f0df002e41bbfa0f5f57aa1	path-redacted-copy
reports/RACE-BUDGET-DIAGNOSIS.md	sn-mirror-fixture-correction-20260914/RACE-BUDGET-DIAGNOSIS.md	sha256:d0373bdaf256555bc2a36680c61708b7b9eb5ae6d3bdd51b5a035158bbe0abb4	sha256:cc3f52905ff0db8fa2229eb9575402ff983798bbce6ebaddc0a81ef1462fef3c	path-redacted-copy
source/CANDIDATE-SCOPE.md	sn-mirror-replay-correction-20260914/terra-runtime/fixture-inputs/sn_go_source_hash.txt	sha256:6d3a98d4cb9ef446b75eb8c44e01790765be7b70cb0f99908fa47cea4e613e6a	sha256:7592eeb6cc2aa04fe155e3bbf740b1c8134fe108fc8cea2b98f9a72de4615141	generated-summary-from-source-hash-and-formatter-records
